fecha,dato
2021-11-04,20.62420
2021-11-05,20.39250
2021-11-08,20.32650
2021-11-09,20.28330
2021-11-10,20.47020
2021-11-11,20.46520
2021-11-12,20.50720
2021-11-16,20.80920
2021-11-17,20.69120
2021-11-18,20.76280
2021-11-19,20.82830
2021-11-22,20.96320
2021-11-23,21.21070
2021-11-24,21.43570
2021-11-25,21.54620
2021-11-26,21.81850
2021-11-29,21.73330
2021-11-30,21.44530
2021-12-01,21.27100
2021-12-02,21.30330
2021-12-03,21.41770
2021-12-06,21.20470
2021-12-07,21.09070
2021-12-08,20.93300
2021-12-09,21.03280
2021-12-10,20.89220
2021-12-13,20.93830
2021-12-14,21.16500
2021-12-15,21.23930
2021-12-16,20.92380
2021-12-17,20.73370
2021-12-20,20.73630
2021-12-21,20.78230
2021-12-22,20.75270
2021-12-23,20.65820
2021-12-24,20.61120
2021-12-27,20.68280
2021-12-28,20.57700
2021-12-29,20.58350
2021-12-30,20.51570
2021-12-31,20.46720
2022-01-03,20.58900
2022-01-04,20.47420
2022-01-05,20.39770
2022-01-06,20.45880
2022-01-07,20.42370
2022-01-10,20.44530
2022-01-11,20.37850
2022-01-12,20.36600
2022-01-13,20.36070
2022-01-14,20.31180
2022-01-17,20.30020
2022-01-18,20.40300
2022-01-19,20.46000
2022-01-20,20.45070
2022-01-21,20.45980
2022-01-24,20.63080
2022-01-25,20.66830
2022-01-26,20.64150
2022-01-27,20.73830
2022-01-28,20.85970
2022-01-31,20.63520
2022-02-01,20.58000
2022-02-02,20.60030
2022-02-03,20.55620
2022-02-04,20.73250
2022-02-08,20.64130
2022-02-09,20.50080
2022-02-10,20.41480
2022-02-11,20.41880
2022-02-14,20.41100
2022-02-15,20.39920
2022-02-16,20.33350
2022-02-17,20.29780
2022-02-18,20.30630
2022-02-21,20.28250
2022-02-22,20.29770
2022-02-23,20.24350
2022-02-24,20.65250
2022-02-25,20.44650
2022-02-28,20.42570
2022-03-01,20.52720
2022-03-02,20.71930
2022-03-03,20.70330
2022-03-04,20.92620
2022-03-07,21.19470
2022-03-08,21.37750
2022-03-09,20.96770
2022-03-10,20.97430
2022-03-11,20.96950
2022-03-14,20.89080
2022-03-15,20.87430
2022-03-16,20.70350
2022-03-17,20.55850
2022-03-18,20.41450
2022-03-22,20.27820
2022-03-23,20.18000
2022-03-24,20.13130
2022-03-25,19.95770
2022-03-28,20.11950
2022-03-29,19.99420
2022-03-30,19.86320
2022-03-31,19.91120
2022-04-01,19.84320
2022-04-04,19.74430
2022-04-05,19.90120
2022-04-06,20.06650
2022-04-07,20.16050
2022-04-08,20.12000
2022-04-11,20.00930
2022-04-12,19.84070
2022-04-13,19.79670
2022-04-18,19.93770
2022-04-19,20.04470
2022-04-20,20.03830
2022-04-21,20.18020
2022-04-22,20.31830
2022-04-25,20.29920
2022-04-26,20.35600
2022-04-27,20.47070
2022-04-28,20.56700
2022-04-29,20.37280
2022-05-02,20.40750
2022-05-03,20.33500
2022-05-04,20.25350
2022-05-05,20.22180
2022-05-06,20.10850
2022-05-09,20.31720
2022-05-10,20.37200
2022-05-11,20.25920
2022-05-12,20.32000
2022-05-13,20.14430
2022-05-16,20.07820
2022-05-17,19.96370
2022-05-18,19.96630
2022-05-19,19.92670
2022-05-20,19.86570
2022-05-23,19.82820
2022-05-24,19.88700
2022-05-25,19.83770
2022-05-26,19.79330
2022-05-27,19.59650
2022-05-30,19.49530
2022-05-31,19.69400
2022-06-01,19.73880
2022-06-02,19.55850
2022-06-03,19.57420
2022-06-06,19.55470
2022-06-07,19.59980
2022-06-08,19.59000
2022-06-09,19.61280
2022-06-10,19.92970
2022-06-13,20.45270
2022-06-14,20.65830
2022-06-15,20.66750
2022-06-16,20.57280
2022-06-17,20.47600
2022-06-20,20.24420
2022-06-21,20.19630
2022-06-22,20.04650
2022-06-23,20.03650
2022-06-24,19.87070
2022-06-27,19.87970
2022-06-28,19.98470
2022-06-29,20.14430
2022-06-30,20.13350
2022-07-01,20.38170
2022-07-04,20.28770
2022-07-05,20.55980
2022-07-06,20.72280
2022-07-07,20.60220
2022-07-08,20.44230
2022-07-11,20.74730
2022-07-12,20.78820
2022-07-13,20.76130
2022-07-14,20.94150
2022-07-15,20.61100
2022-07-18,20.39570
2022-07-19,20.44070
2022-07-20,20.49130
2022-07-21,20.65620
2022-07-22,20.51500
2022-07-25,20.46520
2022-07-26,20.43300
2022-07-27,20.51200
2022-07-28,20.37780
2022-07-29,20.34850
2022-08-01,20.26330
2022-08-02,20.51520
2022-08-03,20.63050
2022-08-04,20.33580
2022-08-05,20.40100
2022-08-08,20.27890
2022-08-09,20.27150
2022-08-10,19.95620
2022-08-11,19.95950
2022-08-12,19.87400
2022-08-15,19.86180
