"date","Tasa objetivo","Inflación","Inflación esperada","Tasa real ex-ante","Tasa real ex-post"
2022-07-29,7.75,8.64677419354839,5.04903225806452,2.70096774193548,-0.896774193548387
2022-07-30,7.75,8.66451612903226,5.04935483870968,2.70064516129032,-0.914516129032258
2022-07-31,7.75,8.68225806451613,5.04967741935484,2.70032258064516,-0.932258064516128
2022-08-01,7.75,8.7,5.05,2.7,-0.949999999999999
2022-08-02,7.75,8.7,5.05645161290323,2.69354838709677,-0.949999999999999
2022-08-03,7.75,8.7,5.06290322580645,2.68709677419355,-0.949999999999999
2022-08-04,7.75,8.7,5.06935483870968,2.68064516129032,-0.949999999999999
2022-08-05,7.75,8.7,5.0758064516129,2.6741935483871,-0.949999999999999
2022-08-06,7.75,8.7,5.08225806451613,2.66774193548387,-0.949999999999999
2022-08-07,7.75,8.7,5.08870967741935,2.66129032258065,-0.949999999999999
2022-08-08,7.75,8.7,5.09516129032258,2.65483870967742,-0.949999999999999
2022-08-09,7.75,8.7,5.10161290322581,2.64838709677419,-0.949999999999999
2022-08-10,7.75,8.7,5.10806451612903,2.64193548387097,-0.949999999999999
2022-08-11,7.75,8.7,5.11451612903226,2.63548387096774,-0.949999999999999
2022-08-12,8.5,8.7,5.12096774193548,3.37903225806452,-0.199999999999999
2022-08-13,8.5,8.7,5.12741935483871,3.37258064516129,-0.199999999999999
2022-08-14,8.5,8.7,5.13387096774194,3.36612903225806,-0.199999999999999
2022-08-15,8.5,8.7,5.14032258064516,3.35967741935484,-0.199999999999999
2022-08-16,8.5,8.7,5.14677419354839,3.35322580645161,-0.199999999999999
2022-08-17,8.5,8.7,5.15322580645161,3.34677419354839,-0.199999999999999
2022-08-18,8.5,8.7,5.15967741935484,3.34032258064516,-0.199999999999999
2022-08-19,8.5,8.7,5.16612903225806,3.33387096774194,-0.199999999999999
2022-08-20,8.5,8.7,5.17258064516129,3.32741935483871,-0.199999999999999
2022-08-21,8.5,8.7,5.17903225806452,3.32096774193548,-0.199999999999999
2022-08-22,8.5,8.7,5.18548387096774,3.31451612903226,-0.199999999999999
2022-08-23,8.5,8.7,5.19193548387097,3.30806451612903,-0.199999999999999
2022-08-24,8.5,8.7,5.19838709677419,3.30161290322581,-0.199999999999999
2022-08-25,8.5,8.7,5.20483870967742,3.29516129032258,-0.199999999999999
2022-08-26,8.5,8.7,5.21129032258064,3.28870967741936,-0.199999999999999
2022-08-27,8.5,8.7,5.21774193548387,3.28225806451613,-0.199999999999999
2022-08-28,8.5,8.7,5.2241935483871,3.2758064516129,-0.199999999999999
2022-08-29,8.5,8.7,5.23064516129032,3.26935483870968,-0.199999999999999
2022-08-30,8.5,8.7,5.23709677419355,3.26290322580645,-0.199999999999999
2022-08-31,8.5,8.7,5.24354838709677,3.25645161290323,-0.199999999999999
2022-09-01,8.5,8.7,5.25,3.25,-0.199999999999999
2022-09-02,8.5,8.69033333333333,5.25833333333333,3.24166666666667,-0.190333333333333
2022-09-03,8.5,8.68066666666667,5.26666666666667,3.23333333333333,-0.180666666666665
2022-09-04,8.5,8.671,5.275,3.225,-0.170999999999999
2022-09-05,8.5,8.66133333333333,5.28333333333333,3.21666666666667,-0.161333333333333
2022-09-06,8.5,8.65166666666667,5.29166666666667,3.20833333333333,-0.151666666666666
2022-09-07,8.5,8.642,5.3,3.2,-0.141999999999999
2022-09-08,8.5,8.63233333333333,5.30833333333333,3.19166666666667,-0.132333333333333
2022-09-09,8.5,8.62266666666667,5.31666666666667,3.18333333333333,-0.122666666666666
2022-09-10,8.5,8.613,5.325,3.175,-0.113
2022-09-11,8.5,8.60333333333333,5.33333333333333,3.16666666666667,-0.103333333333333
2022-09-12,8.5,8.59366666666667,5.34166666666667,3.15833333333333,-0.0936666666666657
2022-09-13,8.5,8.584,5.35,3.15,-0.0839999999999996
2022-09-14,8.5,8.57433333333333,5.35833333333333,3.14166666666667,-0.0743333333333336
2022-09-15,8.5,8.56466666666667,5.36666666666667,3.13333333333333,-0.0646666666666658
2022-09-16,8.5,8.555,5.375,3.125,-0.0549999999999997
2022-09-17,8.5,8.54533333333333,5.38333333333333,3.11666666666667,-0.0453333333333337
2022-09-18,8.5,8.53566666666667,5.39166666666667,3.10833333333333,-0.0356666666666658
2022-09-19,8.5,8.526,5.4,3.1,-0.0259999999999998
2022-09-20,8.5,8.51633333333333,5.40833333333333,3.09166666666667,-0.0163333333333338
2022-09-21,8.5,8.50666666666667,5.41666666666667,3.08333333333333,-0.00666666666666593
2022-09-22,8.5,8.497,5.425,3.075,0.00300000000000011
2022-09-23,8.5,8.48733333333333,5.43333333333333,3.06666666666667,0.0126666666666662
2022-09-24,8.5,8.47766666666667,5.44166666666667,3.05833333333333,0.022333333333334
2022-09-25,8.5,8.468,5.45,3.05,0.032
2022-09-26,8.5,8.45833333333333,5.45833333333333,3.04166666666667,0.0416666666666661
2022-09-27,8.5,8.44866666666667,5.46666666666667,3.03333333333333,0.0513333333333339
2022-09-28,8.5,8.439,5.475,3.025,0.0609999999999999
2022-09-29,8.5,8.42933333333333,5.48333333333333,3.01666666666667,0.070666666666666
2022-09-30,9.25,8.41966666666667,5.49166666666667,3.75833333333333,0.830333333333334
2022-10-01,9.25,8.41,5.5,3.75,0.84
2022-10-02,9.25,8.39032258064516,5.48935483870968,3.76064516129032,0.859677419354838
2022-10-03,9.25,8.37064516129032,5.47870967741935,3.77129032258065,0.879354838709677
2022-10-04,9.25,8.35096774193548,5.46806451612903,3.78193548387097,0.899032258064516
2022-10-05,9.25,8.33129032258065,5.45741935483871,3.79258064516129,0.918709677419354
2022-10-06,9.25,8.31161290322581,5.44677419354839,3.80322580645161,0.938387096774193
2022-10-07,9.25,8.29193548387097,5.43612903225806,3.81387096774194,0.958064516129031
2022-10-08,9.25,8.27225806451613,5.42548387096774,3.82451612903226,0.977741935483872
2022-10-09,9.25,8.25258064516129,5.41483870967742,3.83516129032258,0.99741935483871
2022-10-10,9.25,8.23290322580645,5.4041935483871,3.8458064516129,1.01709677419355
2022-10-11,9.25,8.21322580645161,5.39354838709677,3.85645161290323,1.03677419354839
2022-10-12,9.25,8.19354838709677,5.38290322580645,3.86709677419355,1.05645161290323
2022-10-13,9.25,8.17387096774194,5.37225806451613,3.87774193548387,1.07612903225806
2022-10-14,9.25,8.1541935483871,5.36161290322581,3.88838709677419,1.0958064516129
2022-10-15,9.25,8.13451612903226,5.35096774193548,3.89903225806452,1.11548387096774
2022-10-16,9.25,8.11483870967742,5.34032258064516,3.90967741935484,1.13516129032258
2022-10-17,9.25,8.09516129032258,5.32967741935484,3.92032258064516,1.15483870967742
2022-10-18,9.25,8.07548387096774,5.31903225806452,3.93096774193548,1.17451612903226
2022-10-19,9.25,8.0558064516129,5.30838709677419,3.94161290322581,1.1941935483871
2022-10-20,9.25,8.03612903225806,5.29774193548387,3.95225806451613,1.21387096774194
2022-10-21,9.25,8.01645161290323,5.28709677419355,3.96290322580645,1.23354838709677
